,Unnamed: 0,scorer,full_name,similarity,fn_tokens,pl_tokens,token_compare
16237,17313,Marek Čech,Marek Suchý,0.7619047619047619,"['Marek', 'Suchý']","['Marek', 'Čech']",False
16238,17314,Mathieu Dossevi,Mathieu Dossevi,1.0,"['Mathieu', 'Dossevi']","['Mathieu', 'Dossevi']",True
16239,17315,Roody Lormera,Ruud Vormer,0.6666666666666666,"['Ruud', 'Vormer']","['Roody', 'Lormera']",False
16240,17316,John Shore,Jonjo Shelvey,0.6086956521739131,"['Jonjo', 'Shelvey']","['John', 'Shore']",False
16241,17317,Gervais Batota,Gervais Lombe Yao Kouassi,0.5641025641025641,"['Gervais', 'Lombe', 'Yao', 'Kouassi']","['Gervais', 'Batota']",False
16242,17318,Guilherme Afonso,Guilherme Alvim Marinato,0.6,"['Guilherme', 'Alvim', 'Marinato']","['Guilherme', 'Afonso']",False
16243,17319,James Troisi,James Tomkins,0.8,"['James', 'Tomkins']","['James', 'Troisi']",False
16244,17320,Ryan Bertrand,Ryan Bertrand,1.0,"['Ryan', 'Bertrand']","['Ryan', 'Bertrand']",True
16245,17321,David Beckham,David Ángel Abraham,0.625,"['David', 'Ángel', 'Abraham']","['David', 'Beckham']",False
16246,17322,Daniele Massaro,Daniel Filipe Martins Carriço,0.6363636363636364,"['Daniel', 'Filipe', 'Martins', 'Carriço']","['Daniele', 'Massaro']",False
16247,17323,Nicolas Vallar,Nicolas Pallois,0.7586206896551724,"['Nicolas', 'Pallois']","['Nicolas', 'Vallar']",False
16248,17324,Cenk Tosun,Cenk Tosun,1.0,"['Cenk', 'Tosun']","['Cenk', 'Tosun']",True
16249,17325,Martín Cáceres,Martín Cáceres,1.0,"['Martín', 'Cáceres']","['Martín', 'Cáceres']",True
16250,17326,Darijo Srna,Darijo Srna,1.0,"['Darijo', 'Srna']","['Darijo', 'Srna']",True
16251,17327,Francisco Javier Aguilar García,Francisco Javier  García Fernández,0.7384615384615385,"['Francisco', 'Javier', 'García', 'Fernández']","['Francisco', 'Javier', 'Aguilar', 'García']",True
16252,17328,Joe Cole,Jose Holebas,0.7,"['Jose', 'Holebas']","['Joe', 'Cole']",False
16253,17329,Artem Dzyuba,Artem Dzyuba,1.0,"['Artem', 'Dzyuba']","['Artem', 'Dzyuba']",True
16254,17331,Claudio Jara,Claudio Andrés Bravo Muñoz,0.5263157894736842,"['Claudio', 'Andrés', 'Bravo', 'Muñoz']","['Claudio', 'Jara']",False
16255,17332,Rafael Dick,Rafael Tolói,0.6956521739130435,"['Rafael', 'Tolói']","['Rafael', 'Dick']",False
16256,17333,Bernd Schneider,Morgan Schneiderlin,0.7058823529411765,"['Morgan', 'Schneiderlin']","['Bernd', 'Schneider']",False
16257,17334,Max Gradel,Max-Alain Gradel,0.7692307692307693,"['Max-Alain', 'Gradel']","['Max', 'Gradel']",False
16258,17335,Gregorio Gómez,Sergi Gómez Solà,0.6,"['Sergi', 'Gómez', 'Solà']","['Gregorio', 'Gómez']",False
16259,17336,Jamie Vardy,Jaume Vicent Costa Jordá,0.5142857142857142,"['Jaume', 'Vicent', 'Costa', 'Jordá']","['Jamie', 'Vardy']",False
16260,17337,Pedro Fernández,Pedro Pablo Hernández,0.7777777777777778,"['Pedro', 'Pablo', 'Hernández']","['Pedro', 'Fernández']",True
16261,17338,Robin van Persie,Robin van Persie,1.0,"['Robin', 'van', 'Persie']","['Robin', 'van', 'Persie']",True
16262,17339,Kevin Mirallas,Kevin Mirallas,1.0,"['Kevin', 'Mirallas']","['Kevin', 'Mirallas']",True
16263,17340,Luíz Mesquita de Oliveira,Sérgio Miguel Relvas de Oliveira,0.5614035087719298,"['Sérgio', 'Miguel', 'Relvas', 'de', 'Oliveira']","['Luíz', 'Mesquita', 'de', 'Oliveira']",True
16264,17341,Aaron Mooy,Aaron Mooy,1.0,"['Aaron', 'Mooy']","['Aaron', 'Mooy']",True
16265,17342,Daniel Killer,Daniel Baier,0.8,"['Daniel', 'Baier']","['Daniel', 'Killer']",False
16266,17343,Davy Pröpper,Davy Pröpper,1.0,"['Davy', 'Pröpper']","['Davy', 'Pröpper']",True
16267,17344,Terence Vancooten,Terence Kongolo,0.6875,"['Terence', 'Kongolo']","['Terence', 'Vancooten']",False
16268,17345,Jamal Charles,Jamaal Lascelles,0.6896551724137931,"['Jamaal', 'Lascelles']","['Jamal', 'Charles']",False
16269,17346,Tonny van de Linden,Tonny Emilio Trindade de Vilhena,0.5490196078431373,"['Tonny', 'Emilio', 'Trindade', 'de', 'Vilhena']","['Tonny', 'van', 'de', 'Linden']",True
16270,17347,Andrew Tembo,Adrien Trebel,0.64,"['Adrien', 'Trebel']","['Andrew', 'Tembo']",False
16271,17348,Kostas Fortounis,Konstantinos Fortounis,0.8421052631578947,"['Konstantinos', 'Fortounis']","['Kostas', 'Fortounis']",False
16272,17349,Kenny McLean,Kenny Lala,0.7272727272727273,"['Kenny', 'Lala']","['Kenny', 'McLean']",False
16273,17350,Daniel Reyes,Baptiste Reynet,0.5925925925925926,"['Baptiste', 'Reynet']","['Daniel', 'Reyes']",False
16274,17351,Rafael García Torres,Santiago Damián García Correa,0.5714285714285714,"['Santiago', 'Damián', 'García', 'Correa']","['Rafael', 'García', 'Torres']",False
16275,17352,Rubén Jiménez Rodríguez,Raúl Alonso Jiménez Rodríguez,0.7692307692307693,"['Raúl', 'Alonso', 'Jiménez', 'Rodríguez']","['Rubén', 'Jiménez', 'Rodríguez']",True
16276,17353,Juan Bernat,Juan Bernat Velasco,0.7333333333333333,"['Juan', 'Bernat', 'Velasco']","['Juan', 'Bernat']",True
